Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
45,SE 34-20-26,629.15 to 629.3,2556,Vegetation - Weeds  Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in to lands used for summer fallow.,Potential for weed introduction and spread.,Moderate density of perennial sow thistle and false ragweed on right-of-way.,Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,W2M,
45,SE 34 to SW 26-20-26,629.2 to 631.2,2556 2557 2558 2559,Soils - Erosion,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,NE 27 to NE 23-20-26,629.3 to 632.3,2557 2558 2559 2560 2561,Vegetation - Weeds  Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in to lands used for summer fallow.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,NE 27-20-26,629.87 to 630.11,2557,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: no baseline assessment,"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. Installed a subsoil ramp on geotextile cloth. During final clean-up, removed clay ramp and geotextile and seeded area with an approved seed mix.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,"Health: unhealthy (54%). Weeds: creeping (Canada) thistle, perennial sow thistle. Riparian: willows in isolated patch. Landowner has cultivated portion of right-of-way.",Unresolved,Monitor in 2010.,,W2M,
45,SW / SE 26-20-26,631.22 to 631.32,2559 and 2560,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: unhealthy (41%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. Installed a subsoil ramp on geotextile cloth for a temporary vehicle crossing. Installed sand bags along the edge of wetland to reduce the risk of water moving from the wetland onto the stripped portion of the right-of-way in the event of prolonged rain. During final clean-up, removed clay ramp and geotextile, and seeded area with an approved seed mix. Following final clean-up, the landowner cultivated near the wetland boundaries.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: unhealthy (48%).,Resolved,None.,,W2M,
45,SE 26-20-26,631.9,2560,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,NW 24-20-26,632.3,2562,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
45,NW 24-20-26,633.1,2562,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,SW 24-20-26,633.1 to 633.3,2563,Soils – Erosion Vegetation – Weeds Land and Resource Use - Organic farm,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection. Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate into lands used for summer fallow.,Potential for erosion until vegetation is established. Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,SE 24-20-26,634.3,2564.01,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,SW 19-20-25,634.3 to 634.6,2565,Soils – Erosion Vegetation – Weeds Land and Resource Use - Organic farm,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection. Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for erosion until vegetation is established. Potential for weed introduction and spread.,No weed or erosion issues on right-of-way.,Resolved,None.,,W2M,
45,SW 19-20-25,634.3 to 634.6,2565,Soils - Compaction,--,--,Moderate compaction observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011.  Alleviate compaction, if warranted.",,W2M,
45,NW 18-20-25,635.03 to 635.26,2566,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (79%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. Installed a subsoil ramp on geotextile cloth for a temporary vehicle crossing. During prolonged rain, the wetland flooded the stripped portion of the construction right-of-way. Activities in the affected area ceased until conditions were dry. A crew reclaimed the wetland and remaining segments of the construction right-of-way. Equipment moved around the wetland on access obtained from the landowner. During final clean-up, removed clay ramp and geotextile, and seeded area with an approved seed mix.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: healthy with problems (64%).,Resolved,None.,,W2M,
45,NE 18-20-25,636.0,2567,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,Moderate density of scentless chamomile and perennial sow thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
45,SE 18-20-25,636.0 to 636.3,2567.01,Vegetation - Weeds  Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,SW 17-20-25,636.3,2568,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
45,NE 8-20-25,637.6,2569,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
45,NE 8-20-25,637.76 to 637.81,2569,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy (96%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. During construction, crossed wetland using a geotextile and clay ramp. Removed ramp and geotextile immediately following construction. Reclaimed the remaining stripped portion of the construction right-of-way in spring 2009. All disturbed areas were seeded with an approved seed mix.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: healthy with problems (62%). Weeds: perennial sow thistle. Riparian: woody vegetation removed. Landowner has cultivated approx. 30%. Undesirable species dominant on right-of-way.,Unresolved,Monitor in 2010.,,W2M,
45,NE 8-20-25,638.0 to 638.3,2569,Soils - Problem lower subsoil (saline/sodic),Three-lift soils handling conducted due to problem lower subsoil (saline/sodic). All appropriate soil lifts were placed back in the correct order.,Potential admixing and crop growth problems.,No issues observed on right-of-way.,Resolved,None.,,W2M,
45,NE 8-20-25,638.1,2569,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
46,NW 9-20-25,638.35 to 638.41,2570,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (67%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. During construction, crossed wetland using a geotextile and clay ramp. Removed ramp and geotextile immediately following construction. Reclaimed the remaining stripped portion of the construction right-of-way in spring 2009. All disturbed areas were seeded with an approved seed mix.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: healthy with problems (60%).,Resolved,None.,,W2M,
46,NW 9-20-25,638.4,2570,Soils - Subsidence,--,--,Minor subsidence observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
46,NW 9-20-25,638.78 to 638.83,2570,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy (80%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. During construction, crossed wetland using a geotextile and clay ramp. During final clean-up, removed clay ramp and geotextile, and seeded area with an approved seed mix.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,Health: healthy with problems (70%). Weeds: perennial sow thistle. Landowner has cultivated portion of right-of-way. Excellent revegetation in wetter portions of wetland. Aspen removed on right-of-way.,Unresolved,Monitor in 2010.,,W2M,
46,NW 9-20-25,639.0,2570,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
46,SW 9-20-25,639.0 to 639.2,2571,Vegetation – Weeds Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
46,SW 10-20-25,640.7,2573,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
46,NW 3-20-25,640.7 to 641.1,2574,Vegetation – Weeds Land and Resource Use - SMA lands (cultivated) Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
46,SW 1-20-25,643.9 to 644.0,2579,Vegetation - Weeds,--,--,Moderate density of foxtail barley and false ragweed observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
46,SW 31-19-24,646.12 to 646.20,2584,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy with problems (61%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. During construction, the wetland was ramped using subsoil on geotextile. Immediately following construction, a portion of the ramp was removed, leaving a narrow ramp for final clean-up activities. During final clean-up, removed remaining ramp and geotextile, and seeded the area with an approved seed mix.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns,"Health: unhealthy (31%). Weeds: creeping (Canada) thistle, perennial sow thistle. Bare ground on right-of-way. Heavily disturbed by cattle.",Unresolved,Monitor in 2010.,,W2M,
46,NE 30-19-24,647.6,2586,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for nodding thistle.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
46,NW 29-19-24,647.80 to 647.84,2587,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: unhealthy (30%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. Installed a subsoil clay ramp on geotextile material. During final clean-up, removed clay ramp and geotextile, and seeded area with an approved seed mix.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland was avoided by final alignment.,Resolved,None.,,W2M,
46,NW 29-19-24,648.5,2587,Vegetation - Weeds,Compressed air/shovel cleaning of equipment prior to entering Crown land.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
