Legal Location (W6),1<s>st</s> Year (2012) PCM Assessment,2<s>nd</s> Year (2013) PCRM Assessment and Work Completed,3<s>rd</s> Year (2014) PCRM Assessment and Work Completed,4<s>th</s> Year (2015) PCRM Assessment and Work Completed,5<s>th</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 32-78-18,"Tame pasture/Treed - Patch of stork’s bill observed on the right-of-way at KP 69.75. The plants were picked on September 17, 2012.","June 2013 - Did not assess, however talked to landowner that owns (SW ¼ 34 and NE ¼ 33) did not see any issues when seeded. Oct 30, 2013 - Weeds are no longer a concern at this location, good vegetation cover, 2012 weed issue resolved.","June 7, 2014 - Vegetation cover 90-100% of off R0W - No subsidence noted - Land owner has re seeded whole ¼ to hay last year - Treed section on west end of ¼ - vegetation cover 90-100% compared to off RoW with some minor non noxious weeds.","May 31, 2015 – 100% vegetative cover of off RoW control. No erosion or subsidence observed.  – Forested section on west end of ¼ - 90-100% vegetative cover compared to off RoW control. – KP 69+570 – 69+625, minor Canada thistle observed. Recommend control. October 30, 2015 - Assessed Canada thistle within tract. Canada thistle appears to have gone to seed and no further control is needed this year. Recommend re-assessing next year and implementing weed control as required.","June 23, 2016 - 100% vegetative cover of off RoW conditions.  - Forested section on west end of ¼ - 90% vegetative cover compared to off RoW conditions. - KP 69+570- 69+625, sporadic patches of Canada thistle and bull thistle observed. Recommend weed control Weeds controlled mechanically by haying. - No erosion or subsidence observed.",,,
NW 32-78-18,WTame pasture etland from KP 70.16 to KP 70.39 was observed to be in functional at-risk condition due to limited vegetation establishment. Monitor vegetation growth in 2013,"June 2013 - Did not assess, however talked to landowner did not see any issues when seeded. Oct 30, 2013 - Landowner has cultivated through the wetland and the vegetation will not return to pre-cultivated conditions. Issue resolved.","June 7, 2014 - Vegetation cover 90-100% of off R0W - No subsidence noted - Land owner has re seeded whole ¼ to hay last year","May 31, 2015 – 100% vegetative cover of off RoW control. No erosion, subsidence, or weeds observed.  – Wetland section on west end of ¼ - Excellent vegetative cover, comparable to off RoW control. Issue resolved.","June 23, 2016 - 100% vegetative cover of off RoW conditions.  - No noxious weeds observed within hayed portion - Sporadic patches of Canada thistle and bull thistle observed. Recommend weed control. Weeds controlled mechanically by haying operation.",,,
NE 31-78-18,Hay - Poor vegetation establishment observed on the right-of-way.,"June 2013 - Landowner noted poor growth and rutting across his field at shoofly. -Poor vegetative cover noted at KP 70+750, most alfalfa coming on strong. -KP 70+900 - subsidence; recommend repairs. Oct 18, 2013 - KP 70+900 Used tractor and disk to repair ruts on shoofly, harrowed and seeded Alfalfa with quad broadcast seeder. Repaired Subsidence at KP 70+900 Oct 30, 2013 - Excellent vegetation cover, vegetation no longer a concern, 2012 issue resolved.","June 8, 2014 - 100% Vegetation compared to off RoW. – No weeds identified. – No signs of erosion. – KP 70+760, 70+950, 70+975, and 71+120 Subsidence Sept 28, 2014 – KP 70+000 to KP 71+100, intermittent subsidence repaired with topsoil fill, harrowed and seeded.","May 31, 2015 - Vegetation growth is at 95-100% of off ROW control - No weeds or erosional issues were observed during assessment. - KP 70+760, Minor subsidence, not affecting land use. Continue to monitor.  - KP 70+000 to KP 71+100: 2014 repairs are beginning to vegetate with grasses and alfalfa. Issue resolved.","June 22, 2016 - Vegetation cover at 100% compared to off ROW.  - Repaired subsidence at KP 70+000 to KP 71+100 is fully vegetated, issue resolved.  - KP 70+760, subsidence, recommend repairs. - Swale across ROW at KP 70+985, reduced vegetation cover, recommend seeding. - No noxious or invasive weeds were observed in this ¼. September 6, 2016 - Completed follow up assessment now that hay has been cut and baled. - KP 70+760, Subsidence noted earlier, recommend repairs. September 24, 2016 - KP 70+760 – subsidence repaired - KP 70+985 – swale seeded.",,,
NW 31-78-18,Tame pasture - Rill erosion observed on the right-of-way at KP 71.56. Moderate vegetation establishment observed on the right-of-way. High density of lamb’s-quarters observed on the right-of-way.,"June 2013 - KP 72+300 Landowner seeded oats into poor alfalfa coverage, oats coming up strong. Oct 30, 2013 - Excellent vegetation cover, 2012 vegetation cover issue resolved. Weeds (lamb’s quarters) were not observed, 2012 issue resolved. Rill erosion at KP 71+560 no longer evident, 2012 issue resolved.","June 8, 2014 – 100% vegetation cover compared to off RoW. – No weeds identified. – No issues with subsidence or erosion.","May 13, 2015 - KP 71+100, 71+720, 71+740, 71+790, 71+850 subsidence observed, recommend repairs. May 31, 2015 - Vegetation growth is at 95-100% of off ROW control. - No weed or erosional issues were identified during assessment Nov 3, 2015 – KP 71+100, KP 71+610 (additional location noted), 71+720, 71+740, 71+790, and 71+850 subsidence repaired by landowner.","June 22, 2016 - Vegetation cover at 100% compared to off ROW.  - No noxious weeds were observed in this ¼ - KP 71+460, subsidence. No work recommended, issue resolved. - Repairs completed by landowner at KP’s 71+720, 71+790, 71+850 have resolved the subsidence. - remaining subsidence repairs (KP 71+100, KP 71+610, 71+740) were successful, issues resolved. - No erosional issues were identified in this ¼.",,,
NE 36-78-19,Tame pasture - Areas of rill erosion observed on the right-of-way. Moderate vegetation establishment observed on the right-of-way. High densities of lamb’s-quarters and stinkweed observed on the right-of-way.,,"June 8, 2014 - 90-100% vegetation cover compared to off RoW. – No issues with subsidence or erosion (2012 issues of erosion, vegetation cover, and weeds are resolved). – Drainage looks good, vegetation is established and banks are stable.","May 13, 2015 - KP 72+870 and 72+910 subsidence observed, recommend repairs. May 31, 2015 - Vegetation growth is at 95-100% of off ROW control - No weed or erosional issues were identified during assessment - Drainage ditch at west end of ¼ looks good. Drainage is well vegetated and has no signs of erosion. November 3, 2015 – Landowner attempted to complete repairs, could not be done due to depth of snow.","June 22, 2016 - Hay vegetation cover at 100% compared to off ROW. - No noxious or invasive weeds were observed in this ¼. - KP 72+870 and 72+910, subsidence repairs still required. Landowner did not repair again in 2016, meet in spring of 2017 to get repairs completed - Drainage ditch at east end of ¼ is well vegetated, stable and showing no signs of erosion.",,,
NW 36-78-19,Hay - Poor vegetation establishment observed on the right-of-way. High density of stinkweed observed on the right-of-way.,,"June 8, 2014 – Vegetation cover is 90-100% of off RoW. – No weeds identified (2012 issues with vegetation cover and weeds are resolved). – No issues with subsidence or erosion.  – KP 73+380, bare spot that appears to be work done last year. Monitor growth.","June 3, 2015 – Vegetation cover is 100% of off RoW control. – No weeds, subsidence or erosion observed.  – KP 73+380, bare spot observed in 2014 appears to be revegetating nicely, issue resolved.","June 22, 2016 - Vegetation cover is at 100% compared to off ROW.  - KP 73+435, subsidence, recommend repairs. Wet conditions prevented completion of work in 2016, complete in 2017 as soon as ground conditions and landowner will allow. - Cattle in east half of ¼.  - No erosional issues were observed in this ¼. July 9, 2016  - KP 73+435, marked out subsidence using survey lathe and flagging tape prior to landowner haying.",,,
NW 36-78-19,Rare plant - Drummond’s thistle (KP 73+300) Resolved: No further monitoring is recommended.,,,,,,,
NW 36-78-19,Rare plant - purple-stemmed aster (KP 73+300 to 73+800) Resolved: No further monitoring is recommended.,,,,,,,
NW 36-78-19,Rare plant - autumn willow (KP 73+300 to 73+800) Unresolved: Further monitoring is recommended.,"On August 11, 2013, Rare Plant Specialists visited the location and observed multiple plants on and off the right-of-way. Resolved, no further monitoring is recommended.",,,,,,
NE 35-78-19,"Tame pasture - One plant of scentless chamomile observed at KP 73.80. The plant was picked on September 17, 2012. High density of flixweed observed at KP 74.00. Wetland from KP 73.30 to KP 73.85 and KP 74.33 to KP 74.45 were observed to be in functional at-risk condition due to limited vegetation establishment.","June 2013 - Assessed with landowner present. - Good catch of Alfalfa - Small area of subsidence at KP 72+900 that landowner will repair, issue resolved. - The remainder is poor pasture area, however the cover is good no other issues.  August 3 and 4, 2013 - KP 73+740 Installed wire gate. Oct 30, 2013 Neither scentless chamomile nor flixweed were noted, 2012 issue resolved. Wetlands within 1/4, contours restored and wetland vegetation is evident and comparable to off ROW – No further work required, issue resolved.","June 8, 2014 – Vegetation cover is 90-100% of off RoW. – No weeds noted. – KP 74+050 – 74+450. Reduced vegetation cover, Monitor growth. Oct. 16, 2014 – Subsidence at 74+075 to 74+300. Subsidence is minor, not affecting land use and the land is well vegetated. This portion of land is used as pasture and not hayed. No work recommend, issue resolved.","June 3, 2015 – Vegetation cover is 100% of off RoW control. – No weeds or erosion observed. – KP 74+050 to 74+450, reduced vegetation area noted in 2014 appears to be revegetating well, issue resolved. – KP 74+075 – 74+175, intermittent subsidence observed, not affecting land use, no work recommended, issue resolved.","June 22, 2016 - Vegetation cover is at 100% compared to off ROW control. Majority of ¼ is pasture with the last 300m being hay.  - Sporadic Canada thistle was identified in the pasture portion of this ¼. Recommend spot spraying with herbicide. Re-assess and control weeds in 2017 - ROW fence has been removed from KP 74+750 to 75+025. ROW is still in hay crop in this area however adjacent land has been seeded to canola. - No erosional issues were observed in this ¼.",,,
