Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
94I-14-E45,Treed fen,"September 19, 2014 - Wetland located from KP 45+870 to KP 47+360 is well drained and not holding water.  Wetland is establishing emergent vegetation throughout.","June 21, 2015  - Treed Fen located between kp 45+870 and kp 47+360 has standing water along ROW and contains submergent and emergent riparian vegetation.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Wetland has proper functional condition. Issue resolved.","Sept 28, 2016 - Treed fen located between KP 45+870 and KP 47+360. - Emergent and submergent riparian vegetation present throughout wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of open water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-E45,"Rare plant - bog adder's mouth orchid (S2S3) – KP 46+200. On August 23, 2013, rare plant specialists visited the location and no plants were observed.  Unresolved: Recommend further monitoring in 2015 earlier in the growing season.","September 5, 2014 - Target species not observed. Post-construction contours and habitat on the ROW are similar to off ROW conditions. Mitigation measures appear to have effectively restored target species habitat. Resolved. No further monitoring is recommended.",,,,,
94I-14-E45,"Rare plant - western Jacob's ladder (S4) – KP 46+200 to 46+300. On August 23, 2013, rare plant specialists visited the location and observed 10 to 20 plants. Resolved: No further monitoring is recommended.",,,,,,
,Rare plant - western Jacob's ladder (S4) – KP 46+700 Plants were observed off the right of way during the 2009 survey along an existing road. No monitoring was conducted in 2013. Resolved: No further monitoring is recommended.,,,,,,
94I-14-E34,Moderate vegetation establishment,"September 19, 2014 - Healthy re-establishment of vegetation on ROW, ditchline 30% cover, no issues.  2013 vegetation cover issue resolved.","June 21, 2015  - Vegetation establishment appears to be 70-75% cover compared to off ROW control. ROW exhibiting thinner vegetation cover (40-50%) from KP 46+950 to 47+100 in organic peat soils. Continue to monitor for vegetation growth in peat soils. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Creek crossing at KP 47+600 appears stable with vegetation cover showing 70% on banks. Bed appears stable with good cobble distribution showing moderate flow. Revetment posts stable at this time. Recommend removal of silt fence and exposed plastic matting on both banks. July 17, 2015  - Removed silt fence on both banks and cut out exposed plastic matting of creek crossing at KP 47+600.  Issue resolved. September 26, 2015  - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs growing throughout the ROW  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - Slopes appeared to be stable with no indication of erosion, subsidence or slumping observed.  - Sahtaneh creek crossing appeared stable. Banks are well vegetated, no erosion or slumping was observed. Channel is consistent with conditions up and down stream of TCPL ROW   - No integrity concerns were observed.","July 24, 2016 - 75-85% vegetation established compared to off ROW.  Reduced vegetation cover noted in 2015 (KP 46+950 to 47+100) is no longer evident, issue resolved. - Watercourse (KP 47+600) banks were stable and revetments were in good condition.  Removed silt fence from north side of creek crossing and disposed of materials. - Perennial Sow Thistle observed at KP 47+400 and 47+700 (scentless chamomile also present), primarily along ditchline.  Herbicide application conducted to control. September 28, 2016 - Vegetation continues to establish, exhibiting good growth.  - No noxious weeds identified. No issues.",,,
94I-14-E34,Peat-accumulating marsh,"September 19, 2014 - Wetland located from KP 47+600 to KP 47+700 is well drained and not holding water.  • Wetland is establishing emergent vegetation throughout. • Some ponding adjacent to ROW attributed to beaver activity in the area.","June 21, 2015  - Peat-accumulating marsh located between kp 47+600 and kp 47+700 has flowing water across ROW and contains emergent riparian vegetation.  - Wetland is associated with watercourse crossing at KP 47+650.  - Wetland has proper functional condition. Issue resolved.","Sept 28, 2016 - Peat-accumulating marsh located between KP 47+600 and KP 47+700. - Watercourse crossing located at KP 47+600. - Revetments are stable and functioning on both creek banks. - Banks are stable and well vegetated. - No erosion concerns observed on banks of watercourse. - Wetland has proper functional condition. Issue resolved.",,,
,"Rare plant - potential jack pine (S2S3) – KP 47+300 On August 23, 2013, rare plant specialists visited the location and did not observe the jack pine. Resolved: Log deck was cleared and only lodgepole pine was observed in the area. Pre-construction evidence of jack pine was limited to the observation of a single pine cone; the tree was never located. No further monitoring is recommended.",,,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 47+500 to 47+600. On August 23, 2013, rare plant specialists visited the location and observed 10 to 20 plants. Resolved: No further monitoring is recommended.",,,,,,
94I-14-E24,Moderate vegetation establishment,"September 19, 2014 - Healthy re-establishment of vegetation on ROW, ditchline 30% cover, no issues. 2013 vegetation cover issue resolved.","June 21, 2015  - Vegetation establishment appears to be 80% cover compared to off ROW control. Vegetation consisting predominantly of wetland and deciduous species’. - No weed issues evident in tract. - Roach is showing good vegetation cover with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 27, 2015 -  - High concentrations of sweet clover were observed on the ROW however native plants were observed re-establishing underneath.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - 80-85% vegetation established compared to off ROW. - Perennial Sow Thistle observed at KP 47+480 and scentless chamomile at KP 48+150, primarily along ditchline. Herbicide application conducted to control. September 28, 2016 - Vegetation continues to establish, exhibiting excellent growth.  - No noxious weeds identified. No issues.",,,
94I-14-E24,Treed bog,"September 19, 2014 - Wetland located from KP 47+930 to KP 48+500 is well drained and holding water.  Wetland is establishing emergent and submergent riparian vegetation throughout. Margins of emergent vegetation growth are dry likely due to time of year of assessment. Cross-drains installed along ditchline appear to be functional.","June 21, 2015  - Treed Bog located between kp 47+930 and kp 48+500 contains emergent riparian vegetation.  - Bare patches of peat and mulch present along ROW.  - Cross-drains installed along ditchline are fully functional.   - Wetland has proper functional condition. Issue resolved.","Sept 28, 2016 - Treed bog located between KP 47+930 and KP 48+500. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
