Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
NE 6-49-20,0146,53.586,54.506,Cultivated,53.630,372079 E 5986825 N,Landscape – subsidence,--,--,--,--,--,"May 30, 2017: landowner reported subsidence along the ROW.  November 11, 2017: Enbridge to conduct repair work in 2018.",U,"Repair subsidence, if warranted, and monitor in 2018.",Repair work planned for Spring 2018.,Subsidence was repaired.,R,None.,,,
NE 6-49-20 (cont’d),See above,See above,See above,See above,53.790 to 53.895; 54.0760 to 54.245,--,Vegetation - establishment,--,--,--,--,--,--,--,--,--,The ROW was cleared due to recent repair work. Unable to determine crop establishment success.,U,Monitor crop growth in 2019.,,,
SW 5-49-20,0148,54.885,55.477,Treed pasture,54.885 to 54.780,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 5-49-20,0148,54.885,55.477,Treed pasture,54.885 to 54.780,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 5-49-20,0149,55.477,56.396,Cultivated,"55.650 to 55.720, 56.490, 56.730",--,Landscape - contouring,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor water,ponding in 2017.,"Low laying, unvegetated areas were observed throughout the field, both on and off the ROW.  Landscape and vegetation parameters were equal on and off the ROW.",--,R,None.,--,--,--,--,,,
SE 5-49-20,0149,55.477,56.396,Facility site,56.490,374199 E 5895279 N,Vegetation - weeds,Refer to Year 1 PCEM Report. Narrow-leaved,U,Refer to Year 1 PCEM Report.  Monitor weeds in,2017.,Weeds at Kingman station were mowed.,--,R,None.,--,--,--,--,,,
NE 32-48-20,0151.1,56.396,56.723,Cultivated,56.396 to 56.723,--,Vegetation – Crop Growth,Reduced crop height was observed on the ROW (30-140 cm) compared to off ROW conditions (140-60 cm). The ROW appeared to have held water longer than the rest of the field. No soil issues observed.,U,"March 4, 2015: land agent met with the landowner and provided compensation for crop loss (7 yr. damages form).  May 27, 2016: land agent met with the landowner and provided compensation to undertake work to fix pooling water.  July 6, 2016: land agent met with the landowner. Landowner indicated no issues or concerns. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor crop growth in 2017.,The ROW was cleared due to recent disturbance/repair work. Unable to determine crop establishment success.,--,U,Seed and monitor vegetation establishment in 2018.,--,Crop stage was too early for assessment.,U,Monitor crop growth in 2019.,,,
NE 32-48-20,0151.1,56.396,56.723,Cultivated,--,--,Landscape – Subsidence,--,--,--,--,--,"May 16, 2017: landowner reported subsidence along the ROW. October 25, 2017: land agent met with landowner to inspect issues. Subsidence will be assessed in fall 2017, to determine further repair measures, if warranted.",U,"Assess subsidence issue, repair, if warranted, and monitor in 2018.",Drainage issue was identified by Enbridge.  CH2M to asses in 2018.,No contouring or drainage issues were observed at the time of assessment.,R,None.,,,
NW 33-48-20,0152,56.723,57.683,Cultivated,--,--,Landscape – subsidence,--,--,--,--,--,"May 18, 2017: landowner reported subsidence along the ROW.  November 11, 2017: Enbridge to conduct repair work in 2018.",U,"Confirm location of subsidence, repair, if warranted, and monitor in 2018.",Subsidence issue was identified by Enbridge.  CH2M to asses in 2018.,There were no contour or subsidence issues observed at the time of assessment. Recent repair work was observed.,R,None.,,,
NW 33-48-20,0152,56.723,57.683,Cultivated,56.723 to 56.740,--,Vegetation – weeds,--,--,--,--,--,--,--,--,--,"Weed issue was observed at bore location. High densities of perennial sow thistle, cleavers and stinkweed were observed on the ROW. Area is not within cultivated portion of the ROW and is within and it trapped land due to ATCO valve site. Weed issue is not related to ETH reclamation.",R,None.,,,
NW 33-48-20,0152,56.723,57.683,Cultivated,56.723 to 57.158;  57.612 to 57.674,--,Soil – topsoil depth,--,--,--,--,--,--,--,--,--,Reduced topsoil depth was observed on the ROW causing areas of reduced crop growth.  Reduced crop growth was observed where recent repair work was conducted at KP 56.723 to KP 57.158 and KP 57.612 to KP 57.674,U,"Monitor crop growth after additional growing season in 2019. If issues are observed in 2019, source additional topsoil at that time.",,,
NE 33-48-20,0153,57.683,58.217,Cultivated,57.700,375255 E 5894770 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Erosion issue was not observed at the time of assessment.,--,R,None.,--,--,--,--,,,
NE 33-48-20,0153,57.683,58.217,Cultivated,58.030,375530 E 5894588 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Erosion issue was not observed at the time of assessment.,--,R,None.,--,--,--,--,,,
NE 33-48-20,0153,57.683,58.217,Cultivated,57.683 to 58.230,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 33-48-20 (cont’d),See above,See above,See above,See above,57.850 to 57.890; 57.970 to 57.880; 58.010,--,Landscape - subsidence,--,--,--,--,Subsidence was observed over the trench line at KP 57.85 to KP 57.89; KP 57.97 to KP 57.88; and KP 58.01. Subsidence issue was likely related to a potential erosion issue observed in 2016.,"July 10, 2017: landowner reported subsidence along the ROW.  November 11, 2017: Enbridge to conduct repair work in 2018.",U,"Repair subsidence, reseed, and monitor in 2018.",Repair work was conducted at the same time as tract 152.,Subsidence issue was not observed at the time of assessment and appear to have bene repaired. Crop parameters were equal on and off ROW.,R,None.,,,
NE 33-48-20 (cont’d),See above,See above,See above,Wetland,58.150,--,Vegetation – establishment,--,--,--,--,--,--,--,--,--,Poor vegetation establishment and bare soil was observed at wetland over trench line.,U,Monitor vegetation establishment over wetland in 2019.,,,
SE 33-48-20 W4M,0154,58.231,58.618,Cultivated,--,--,Landscape – Rough,Crop parameters were equal on and off of the right-of-way.,R,"October 3, 2016: Land Agent spoke with the land occupant via telephone. Occupant indicated they had no issues or concerns with ROW condition. October 3, 2016: Land Agent attempted to contact the landowner via telephone. A voice message was left for landowner for willow staking.",None.,--,--,--,--,"In January 2019, Enbridge indicated that the landowner reported a rough ROW.",--,U,Assess in 2019.,,,
SW 34-48-20,0155 0156,58.618,58.870,Tame pasture,58.618 to 58.870,--,Vegetation - weeds,"Weed issue observed on the ROW causing reduced vegetation establishment. Canada thistle, wild buckwheat, stinkweed and perennial sow-thistle were observed at higher densities on ROW compared to off.",U,"December 22, 2016: land agent spoke with the landowner via telephone. Landowner was informed of work to be undertaken in spring 2017. Landowner indicated they had no issues or concerns with what was discussed. Repair Work: June 2, 2016: the ROW was sprayed. August 12, 2016: the ROW was desiccated.","Monitor in 2017, to determine if further weed control is required.",The ROW was cleared due to recent disturbance/repair work. Unable to determine the density and distribution of weed species.,--,U,Seed and monitor vegetation establishment in 2018.,White cockle and Canada thistle identified and controlled by Enbridge in 2017.,"Perennial sow thistle, white cockle, Canada thistle and stinkweed were observed at higher densities on the ROW. Vegetation has established well.",U,Control weeds and monitor in 2019.,,,
SW 34-48-20,0155 0156,58.870,59.579,Cultivated,58.940 to 58.979,376293 E 5894116 N to 376308 E 5894079 N,Landscape - subsidence,Two areas of subsidence observed on the ROW. One area (KP 58.97) measures 30 cm wide x 40 cm wide x 15 cm deep. The second area (KP 58.98) measures 60 cm wide x 60 cm wide x 20 cm deep.,U,"December 22, 2016: land agent spoke with the landowner via telephone. Landowner was informed of work to be undertaken in spring 2017. Landowner indicated they had no issues or concerns with what was discussed. Repair Work: Repair work scheduled for fall 2016.",Repair subsidence and monitor in 2017.,Subsidence was not observed at the time of assessment.,--,R,None.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,"Subsidence was observed over the trench, approximately 50 cm long x 50 cm wide x 20 cm deep, at KP 58.995.",U,Monitor in 2019. Repair subsidence when feasible.,,,
SW 34-48-20 (cont’d),See above,See above,See above,See above,59.050 to 59.200,376361 E 5894036 N to 376497 E 5893973 N,Soil - compaction,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 34-48-20,0157 0158,59.579,59.999,Tame pasture,59.980 to 59.999,--,Vegetation - weeds,"Weed issue observed on the ROW causing reduced vegetation establishment. Lamb’s-quarters, wild oats and stinkweed were observed at higher densities on ROW compared to off.",U,"September 19, 2016: land agent met with the landowner and provided compensation to undertake weed control during 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Weed issue observed on the ROW. Canada thistle was observed at higher densities on the ROW compared to off the ROW.,--,U,Control weeds and monitor in 2018.,--,No weed issues were observed on the ROW.,R,None.,,,
NE 27-48-20,0159,59.999,60.457,Cultivated,59.999 to 60.457,--,Soil - compaction,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.  Crop has established well.,--,R,None.,--,--,--,--,,,
NE 27-48-20,0159,59.999,60.457,Cultivated,60.415.,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Subsidence on Line 67 over most of the tract. Subsidence is 15-20 cm deep and 30-60 cm wide. Work required. Repair Work: Repair work is scheduled for 2019,"Minor subsidence was observed approximately 10 m long x 5-10 cm deep., at KP 60.415.",U,No immediate hazard.  Monitor in 2019.,,,
NW 26-48-20,0160,60.457,61.360,Cultivated,60.457 to 61.360,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 26-48-20,0160,60.457,61.360,Cultivated,60.800,377947 E 5893297 N,Landscape – contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Area appears to be part of a natural drainage. Not a contouring issue.,--,R,None.,--,--,--,--,,,
NW 26-48-20,0160,60.457,61.360,Cultivated,60.841 to 60.877; 60.984 to 60.994; 61.011 to 61.135; 61.150 to 61.229; 62.262; 61.325 to 61.343,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Subsidence on Line 67 across both tracts. Subsidence is 15-30 cm deep and 60-90 cm wide in places. Work required. Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Subsidence was observed along the trench throughout the tract.  Subsidence ranges from 60-120 cm wide x 5-20 cm deep.,U,Monitor in 2019. Repair subsidence when feasible.,,,
NW 26-48-20 (cont’d),0161,61.360,61.660,Cultivated,61.360 to 61.660,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 26-48-20 (cont’d),0161,61.660,62.009,Hay,61.660 to 62.009,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW. Vegetation has established well along the ROW.,--,R,None.,--,--,--,--,,,
NW 26-48-20 (cont’d),0161,61.660,62.009,Hay,61.591 to 61.670.,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Subsidence on Line 67 across both tracts. Subsidence is 15-30 cm deep and 60-90 cm wide in places. Work required. Repair Work: Enbridge has indicated that the location will be managed and completed based on priority. Repair work is scheduled for 2019.,"Subsidence was observed over trench, approximately 60-90 cm wide x 15 cm deep at KP 61.591 to KP 61.670.",U,Monitor in 2019. Repair subsidence when feasible.,,,
NW 26-48-20 (cont’d),0161,61.660,62.009,Hay,61.660 to 62.009,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.   Control weeds,"and monitor in 2017, to determine if further weed control is required.",Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 26-48-20,0163,62.009,62.241,Hay,62.009 to 62.241,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW. Vegetation has established well along the ROW.,--,R,None.,--,--,--,--,,,
SE 26-48-20,0163,62.009,62.241,Hay,62.009 to 62.241,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 26-48-20,0163,62.009,62.241,Hay,62.009,--,Landscape – subsidence,--,--,--,--,--,"May 16, 2017: landowner reported trench crown/roach affecting surface drainage.  November 11, 2017: Enbridge to conduct repair work in 2018.",U,"Repair, reseed, and monitor in 2018.","Landowner reported subsidence across tract, approximately 90-60 cm wide x 5-30 cm deep. Repair Work: Enbridge has indicated that the location will be managed and completed based on priority. Repair work is scheduled for 2019.",Subsidence was observed over trench.  60-90 cm wide x 5-10 cm deep at KP 61.910 to KP 61.935; 45-60 cm wide x 10-20 cm deep at KP 62.107 to KP 62.143.,U,Monitor in 2019. Repair subsidence when feasible.,,,
