Alignment Sheet,Legal Location (WPM),Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
86,N1/2 34-1-3,1223.4 to 1224.3,4394.01,BTopography - Unnatural Contours Soils - Water Erosion Water Quality and Quantity uffalo Drain,Appropriate vehicle crossing installed - ramp and flume. Trenchless method used. Recontoured banks to preconstruction contours. Seeded bed and banks. Landowner worked field and re-established existing drainage patterns in field.  Installed Curlex and silt fence.,Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,Unstable soils and slumping at both banks on right-of-way.,Unresolved,Repair and re-contour unstable banks. Monitor in 2011.,,,
86,N1/2 34-1-3,1223.4 to 1224.3,4394.01,BVegetation – Weeds uffalo Drain,--,--,"Moderate density creeping thistle, lamb’s-quarters, false ragweed, field dock and kochia observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
86,NW 25-1-3,1227.4,4405,BSoils - Water Erosion Water Quality and Quantity uffalo Creek,Appropriate vehicle crossing installed - single span bridge. Trenchless method used. Recontoured banks to preconstruction contours.  Seeded bed and banks. Installed Curlex.,Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,Poor vegetation establishment on banks at right-of-way crossing.,Unresolved,Reseed banks and monitor grass growth in 2011.,,,
86,NW 25-1-3,1227.4,4405,BVegetation – Weeds uffalo Creek,--,--,"High density of leafy spurge, false ragweed, lamb’s-quarters and sweet clover observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
86,NE 25-1-3,1227.9 to 1228.6,4406 4406.01,Land and Resource Use –  Irrigated land,Trench backfilled in lifts.,Recontoured to preexisting state.,No issues observed on right-of-way.,Resolved,None.,,,
87,NE 20-1-2,1231.6,4415.01,DSoils - Water Erosion Water Quality and Quantity rainage Channel,Appropriate vehicle crossing installed - single span bridge. Trenchless method used. Recontoured banks to preconstruction contours. Seeded bed and banks. Installed Curlex.,Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,Poor vegetation establishment on banks at right-of-way crossing.,Unresolved,Reseed banks and monitor grass growth in 2011.,,,
87,SW 21-1-2,1233.5,4422,Vegetation - Weeds,"Hand-picked, bagged and removed scentless chamomile (4 plants of noxious weed) from the construction right-of-way.",Potential for weed introduction and spread.,"Moderate weed density of lamb’s-quarters, creeping thistle, green smartweed, perennial sow-thistle, green foxtail, narrow-leaved hawk’s-beard and round-leaved mallow on right-of-way. No scentless chamomile observed on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
87,NE 16-1-2,1234.0 to 1234.3,4423,Soils - Admixing,Rutting and admixing occurred due to low topography and wet conditions. The Senior Environmental Inspector shut-down D8 dozers; however the wide pad D6 and hoes were allowed to continue work as per the Pipeline EPP.,Potential admixing.,Minor admixing observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
87,NE 16-1-2,1234.0 to 1234.3,4423,Soils - Rutting and Compaction,Rutting occurred due to wet conditions. Work was suspended until there were suitable conditions.,Potential rutting and compacting.,Rutting observed on the right-of-way. No compaction observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Repair rutting, if warranted.",,,
87,NW 15-1-2,1234.3 to 1235.3,4424 4425,Soils - Rutting and Compaction,Rutting occurred due to wet conditions. Work was suspended until there were suitable conditions.,Potential rutting and compacting.,Rutting observed on the right-of-way. No compaction observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Repair rutting, if warranted.",,,
87,NE 15-1-2,1235.3 to 1236.1,4426 4427,Soils - Rutting and Compaction,Rutting occurred due to wet conditions. Work was suspended until there were suitable conditions.,Potential rutting and compacting.,Moderate compaction on right-of-way. No rutting observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,
87,NW and  S1/2 14-1-2,1236.3 to 1237.8,4428 4429 4430 4431 4432 4433,Topography - High Water Table and Unstable Ditch Soils - Subsidence,High water table and unstable trench. Reclaimed.,Potential for ditch subsidence.,No issues observed on right-of-way.,Resolved,None.,,,
87,NW 14-1-2,1236.1 to 1236.4,4428,Soils - Rutting and Compaction,Rutting occurred due to wet conditions. Work was suspended until there were suitable conditions.,Potential rutting and compacting.,No rutting or compaction on right-of-way.,Resolved,None.,,,
87,NW 14-1-2,1236.1 to 1236.4,4428,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
87,SW 14-1-2,1236.4 to 1237.0,4429,Soils - Rutting and Compaction,Rutting occurred due to wet conditions. Work was suspended until there were suitable conditions.,Potential rutting and compacting.,No rutting or compaction on right-of-way.,Resolved,None.,,,
87,SW 14-1-2,1236.4 to 1237.0,4429,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
87,SE 14-1-2,1237.0 to 1238.0,4431 4432,Soils - Rutting and Compaction,Rutting occurred due to wet conditions. Work was suspended until there were suitable conditions.,Potential rutting and compacting.,No rutting or compaction on right-of-way.,Resolved,None.,,,
87,SE 14-1-2,1237.0 to 1238.0,4431 4432,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
87,NE 12-1-2,1238.9 to 1239.7,4435 4436,Soils - Compaction,--,--,Moderate compaction observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction, if warranted.",,,
87,NE 12-1-2,1239.5,4435,DSoils - Erosion Water Quality and Quantity rainage Channel,Appropriate vehicle crossing installed - ramp and flume. Isolation method used. Upper substrate material was stored separately during the crossing and was replaced last. Reshaped and compacted bed and banks. Installed silt fence. Watercourse was surveyed to ensure positive drainage was achieved.,Potential for erosion until vegetation is established and for alteration of drainage patterns.,Poor vegetation establishment on both banks of drainage. Minor rill and gully erosion and slumping on banks. Silt fence too short.,Unresolved,"Extend silt fence across right-of-way, reseed and monitor in 2011.",,,
87,NE 12-1-2,1239.5,4435,DVegetation – Weeds rainage Channel,--,--,"Moderate to high density of field dock, dandelion, perennial sow-thistle, false ragweed, green smartweed and sweet clover observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
87,SE 7-1-1,1241.4,4439,DSoils - Erosion Water Quality and Quantity rainage Channel,Appropriate vehicle crossing installed - ramp and flume. Isolation method used. Upper substrate material was stored separately during the crossing and was replaced last. Reshaped and compacted bed and banks. Installed silt fence. Watercourse was surveyed to ensure positive drainage was achieved.,Potential for erosion until vegetation is established and for alteration of drainage patterns.,Poor vegetation establishment on both banks. Minor slumping observed on banks at right-of-way crossing.,Unresolved,"Repair slumping, reseed and monitor in 2011.",,,
87,SE 7-1-1,1241.4,4439,DVegetation – Weeds rainage Channel,--,--,"High density of redroot pigweed, perennial sow-thistle, green smartweed, wild buckwheat, round-leaved mallow, stinkweed and creeping thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
87,SW 8-1-1,1241.7 and GR 0.8,4439.01 4439.02 4439.03,Vegetation - Weeds,"Hand-picked, bagged and removed scentless chamomile (a few plants of noxious weed) from the construction right-of-way.",Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
