Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
48,NE 27-18-23,666.2 to 666.9,2610,Vegetation - Weeds,Moderate density of false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate density of false ragweed, gumweed and nodding thistle observed on construction right-of-way during ground reconnaissance.",Weed issues appear resolved.,"Low densities of gumweed, Canada thistle, foxtail barley, nodding thistle and hemp nettle observed on construction right-of-way during ground reconnaissance.",Weeds sprayed in 2010 and August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
48,NE 27-18-23,666.9,2610,Topography – Slopes Soils – Erosion Water Quality and Quantity Fish and Fish Habitat High Hill Creek,Rill erosion on northwest bank on construction right-of-way. Diversion berm contributing to rill erosion on northwest bank. Silt fencing damaged on northwest bank.,Minor rill erosion observed on northwest bank on construction right-of-way during ground reconnaissance.,"Straw logs and other foreign material removed April 24, 2012. Sub-surface erosion thought to be caused by 3rd party (beavers).",No erosion observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,W2M,
48,NE 27-18-23,666.9 to 667.6,2610,Vegetation – Weeds High Hill Creek,Moderate density of false ragweed and areas of poor seed catch on northwest bank on construction right-of-way.,Moderate density of gumweed and nodding thistle observed on northwest bank on construction right-of-way during ground reconnaissance.,--,"Low densities of nodding thistle, gumweed, Canada thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
48,NW 26-18-23,666.9 to 667.6,2611,Vegetation - Weeds,Moderate density of false ragweed and nodding thistle observed on construction right-of-way during ground reconnaissance.,"Moderate density of false ragweed, gumweed and nodding thistle observed on construction right-of-way during ground reconnaissance.",Weed issues appear resolved.,"Low to moderate densities of nodding thistle, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed in 2010. Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
48,NE 7-18-22,R 2.3 to 3.1,2621.1,Vegetation – Weeds,Issue reported by construction contractor.,"Moderate density of false ragweed, foxtail barley and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",--,"Low to moderate densities of cocklebur, curled dock, kochia, foxtail barley, perennial sow-thistle, maple-leaved goosefoot and Canada thistle observed on construction right-of-way during ground reconnaissance.",Discing and reseeding completed in June 2012. Weeds sprayed in 2010.,Unresolved,Control weeds and monitor in 2013.,,W2M,
49,SW 25-17-22,R 12.2,2645.1,Soils – Erosion Water Quality and Quantity Fish and Fish Habitat Cottonwood Creek,Rill erosion and sedimentation on slope and diversion berm of west bank on construction right-of-way. Silt fencing ineffective on west bank. Poor vegetation establishment on west bank on construction right-of-way.,Moderate vegetation establishment on west bank and approach slope observed on construction right-of-way during ground reconnaissance.,Bare area at R 12.2. Rill erosion at R 12.3.,Minor rill erosion observed on east bank during ground reconnaissance likely caused by poor vegetation establishment.,"Reseeded in 2010, 2011 (west slope) and June 2012.",Unresolved,Reseed and monitor in 2013.,,W2M,
49,SW 25-17-22,R 12.1 to R 12.5,2645.1,Vegetation - Establishment,"Moderate density of lamb's-quarters, kochia and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Bare area at R 12.2.  Construction debris on right-of-way.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. Patchy areas noted at R 12.25 and R 12.3. Construction debris observed at R12.25.,"Reseeded in 2010, 2011 (west slope) and June 2012.",Unresolved,"Pick debris, reseed and monitor in 2013.",,W2M,
49,SW 25-17-22,R 12.1 to R 12.5,2645.1,Vegetation - Weeds Land and Resource  Use - organic farm,"Moderate density of lamb's-quarters, kochia and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Broadcast seeding and rake in spring 2012.,Unresolved,Control weeds and monitor in 2013.,,W2M,
49,NW 20-17-21,R 15.1,2651.1,Vegetation – Establishment,--,--,--,Area near road not seeded. Could possibly have had work done recently.,--,Unresolved,Reseed and monitor in 2013.,,W2M,
49,SW 20-17-21,R 15.7,2651.1,Vegetation – Establishment  Unnamed drainage,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,Reseeded in 2010. Removed silt fence in spring 2012.,Resolved,None.,,W2M,
49,SW 16-17-21,R 18.6,2656.1,Vegetation - Weeds,Issue reported by construction contractor.,Moderate density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,No weeds observed.,"Low to moderate densities of scentless chamomile, red-root pigweed, curled dock and Canada thistle observed on construction right-of-way. High densities of wild buckwheat observed on construction right-of-way during ground reconnaissance.",Weeds picked in 2010. Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
49,NW 10-7-21,R 19.5 to R 20.2,2660.1 2661.1,Soils - Subsidence,--,Moderate subsidence observed intermittently on construction right-of-way during ground reconnaissance.,Subsidence appears repaired.,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,W2M,
50,NE 2-17-21,R 23.2,2666.1,Vegetation - Weeds,High density of prickly lettuce and flixweed on construction right-of-way.,High density of prickly lettuce and annual sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way.,Low to moderate densities of perennial sow-thistle and curled dock observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
50,NE 2-17-21,R 23.2,2666.1,Vegetation - Establishment,--,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reseed and monitor in 2013.,,W2M,
50,SW 35-16-20,R 32.4 to R 33.3,2690.1,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,Area is still flooded.,No subsidence observed from R 32.4 to R 32.93. The remainder of the area is flooded.,--,Unresolved,Monitor in 2013.,,W2M,
50,SE 35-16-20,R 33.3 to R 34.1,2691.1,Soils - Subsidence,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,Area is still flooded.,Construction right-of-way flooded during ground reconnaissance. Reassess next year.,--,Unresolved,Monitor in 2013.,,W2M,
50,SE 35-16-20,R 33.4,2691.1,Vegetation - Crop Growth,Issue reported by construction contractor.,Unable to assess due to wet conditions at time of survey.,--,Construction right-of-way flooded during ground reconnaissance. Reassess next year.,--,Unresolved,Monitor in 2013.,,W2M,
51,SE 32-16-19,R 38.9,2700.1,Vegetation - Weeds,"Moderate weed density of perennial sow-thistle, foxtail barley, stinkweed and scentless chamomile on construction right-of-way.","Moderate weed density of perennial sow-thistle, foxtail barley, Canada thistle and scentless chamomile on construction right-of-way.",Weeds observed on right-of-way.,"Low densities of kochia, scentless chamomile, volunteer canola, Canada thistle, red-root pigweed, stinkweed and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weeds sprayed 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
51,SE 32-16-19,R 38.15 to R 38.95,2700.1,Vegetation – Weeds,--,--,Landowner concerned with foxtail barley on right-of-way (Fall 2012).,--,--,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
51,SE 34-16-19,R 41.4 to R 42.4,2704.1,Vegetation - Weeds,"High weed density of white cockle, perennial sow-thistle, scentless chamomile, lamb’s-quarters and Canada thistle on construction right-of-way identified during spring overflight and ground reconnaissance.","High density of Canada thistle, scentless chamomile, foxtail barley and prickly lettuce observed on construction right-of-way during ground reconnaissance.",High density of scentless chamomile and Canada thistle; spraying has effectively controlled scentless chamomile.,Weed density and composition equal on and off construction right-of-way.,Blanket spraying completed in late June 2012. Reseeding conducted in July 2012. Touch-up spraying for scentless chamomile in late July 2012.,Resolved,None.,,W2M,
51,SE 34-16-19,R 41.8 to R 42.4,2704.1,Vegetation - Establishment,--,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeding conducted in July 2012.,Unresolved,"Reseed, if warranted, and monitor in 2013.",,W2M,
51,SE 34-16-19,R 42.25 to R 42.4,2704.1,Soils - Subsidence,Moderate subsidence on construction right-of-way at railway and road crossing.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,W2M,
51,SW 35-16-19,R 42.4 to 42.5,2705.1,Soils - Subsidence,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Subsidence (approx.  1.5 m x 0.35 m) observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2013.,,W2M,
